seniority_level,internship,degree_requirements,programming_languages,type_of_ml,libraries_and_tools,cloud_platforms,key_responsibilities,domain
Not mentioned,False,"Education in Data Science, Computer Science / Engineering, Statistics, or related fields is preferred.","['Python', 'R', 'SQL']","['Supervised Learning', 'Predictive Modeling', 'MLOps']","['PyTorch', 'pandas', 'Spark']","['Databricks', 'AWS', 'GCP', 'Azure']","['Build, deploy, and maintain scalable machine learning models that solve key business challenges.', 'Collaborate on model deployment and monitoring, ensuring performance and accuracy over time.', 'Develop data pipelines and workflows to ensure data accessibility and readiness for model training.', 'Create impactful presentations to communicate model results and recommendations to both technical and non-technical audiences.']",['Sports']
Mid-Level,False,"Bachelor’s degree in Computer Science, Math, Engineering, or related field (Master's preferred)","['Python', 'C++', 'Rust', 'SQL']","['Deep Learning', 'Predictive Modeling', 'Reinforcement Learning', 'Optimization', 'Time Series Analysis']","['PyTorch', 'TensorFlow', 'Docker', 'Kubernetes', 'Helm', 'EKS', 'Scikit Learn', 'Keras', 'Theano', 'DyLib']","['AWS', 'Azure']","['Develop and deploy machine learning models for optimal performance and scalability', 'Build tools and services to enhance the ML platform, utilizing technologies like Kubernetes, Helm, and EKS', 'Manage large datasets and build ML pipelines for data processing and training', 'Develop an on-demand predictive modeling platform using gRPC']",['Software and Cloud']
Mid-Level,False,MS or PhD in computer science or equivalent experience required,"['Python', 'Scala']","['Generative AI', 'Natural Language Processing', 'Computer Vision', 'Deep Learning']","['PyTorch', 'Docker', 'Kubernetes']","['Azure', 'AWS']","['Innovate, lead, design, implement, and deliver innovative algorithmic solutions and exciting new features for addressing business requirements.', 'Conduct analytical experiments using statistical techniques and large vision language model (LLMs, VLMs) research for generative modeling of trends and patterns in data.', 'Craft scalable code for building services involving deep ML algorithms, such as deep learning, in programming languages such as Python, Scala.', 'Mentor data scientists and engineers and guide innovative ways.']","['Software and Cloud', 'Marketing']"
Mid-Level,False,"Bachelor's degree in Computer Science, Engineering, or related field, or 2+ years equivalent experience","['Python', 'C++']","['Deep Learning', 'Optimization', 'Multimodal Learning']","['TensorFlow', 'JAX', 'PyTorch']","['AWS', 'Azure', 'GCP']","['Develop infrastructure components for distributed training', 'Implement automation solutions for deployment and scaling', 'Monitor system health and troubleshoot issues', 'Improve developer experience and performance of ML framework']",['Automotive']
Mid-Level,False,"Masters or Ph.D. in computer science, engineering, or quantitative field","['Python', 'C++', 'R', 'SQL']","['Supervised Learning', 'Deep Learning', 'MLOps']","['SageMaker', 'MLflow', 'Kubeflow', 'PyTorch', 'TensorFlow', 'Jenkins', 'GitHub actions', 'Concourse', 'Terraform', 'Spark', 'Dask']",['Not mentioned'],"['Manage, maintain, scale, and improve machine learning models in production environments', 'Design, test, and deploy models to production as APIs', 'Optimize and tweak machine learning models in production', 'Use CI/CD processes to develop higher quality code and models']",['Education']
Early Career,True,"Master’s or PhD degree in Computer Science, Computer Engineering; or equivalent experience","['Python', 'Java', 'C']","['Predictive Modeling', 'Statistical Modeling', 'Deep Learning']","['R', 'Matlab', 'scikit learn']",['Not mentioned'],"['Develop predictive models on large-scale datasets to address various business problems.', 'Develop and implement scalable, efficient, and interpretable modeling algorithms.', 'Collaborate with product management and engineering groups to develop new products and features.']","['Software and Cloud', 'Marketing']"
Not mentioned,False,Not mentioned,['Not mentioned'],['Deep Learning'],['PyTorch'],['Not mentioned'],"['Design and develop systems and solutions for developing algorithm tooling prototypes', 'Propose, promote and facilitate paved paths for integration and productization of algorithms', 'Identify and execute on opportunities to create leverage for scaling algorithm impact', 'Contribute to algorithm projects end-to-end across different domains']",['Entertainment']
Not mentioned,False,Not mentioned,"['Python', 'Java', 'C++']","['Computer Vision', 'Natural Language Processing', 'Deep Learning', 'Generative AI']","['PyTorch', 'Tensorflow', 'Unreal Engine', 'Unity', 'Maya', 'Nuke']",['Not mentioned'],"['Design and develop systems and reusable algorithms for machine learning in the multimedia domain', 'Collaborate cross-functionally with research scientists and product managers', 'Productize algorithms and models for human-in-the-loop inference tasks', 'Participate in algorithm development and propose scalable designs']",['Entertainment']
Senior,False,Graded Certifications or a degree in Machine Learning is a must,['Not mentioned'],"['Supervised Learning', 'Unsupervised Learning', 'Time Series Analysis', 'Natural Language Processing', 'Generative AI', 'Recommendation Systems']",['Not mentioned'],['Not mentioned'],"['Execute multiple ML projects', 'Design, build, and deploy enterprise-grade ML solutions', 'Create end-to-end inferencing pipelines for monitoring concept drift and data drift', 'Utilize public cloud providers for ML solutions']",['Software and Cloud']
Mid-Level,False,"MS in Computer Science, Data Science or Statistics or PhD degree in Computer Science, Data Science, or a related field","['Python', 'Scala', 'Java', 'SQL']","['Predictive Modeling', 'Generative AI', 'MLOps', 'Statistical Modeling']","['scikit-learn', 'SparkML', 'TensorFlow', 'PyTorch']",['Not mentioned'],"['Develop innovative models in collaboration with Adobe Research', 'Design, develop, and deploy applications powered by predictive and generative models', 'Implement ML-Ops best practices for scalable machine learning workflows', 'Engage in the product lifecycle, including architecture, design, deployment, and production operations']","['Software and Cloud', 'Marketing']"
